state_name,state_family,n_qutrits,class_name,candidate_name,is_valid,uses_old_codespace_only,avg_codeword_entanglement,overlap_with_old_codespace,best_depth,mean_depth,std_depth,best_size,mean_size,best_two_qubit_gate_count,mean_two_qubit_gate_count,num_qubits,best_count_ops,n_transpile_runs,successful_trials,failed_trials,status,error_message,approx_ref_depth,approx_ref_two_qubit_gate_count,approx_status,approx_error_message,fid085_best_approx_degree,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count,fid090_best_approx_degree,fid090_best_fidelity,fid090_best_depth,fid090_best_two_qubit_gate_count,fid095_best_approx_degree,fid095_best_fidelity,fid095_best_depth,fid095_best_two_qubit_gate_count,suite_name,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason,pipeline_stage
cluster2x2,cluster,4,baseline,E_old,True,True,0.0,1.0,94.0,100.2,12.4,262.0,267.4,64.0,65.2,128.0,"{'rz': 87, 'sx': 64, 'rx': 47, 'cz': 33, 'rzz': 31, 'barrier': 8}",5,5,0,ok,,26.0,28.0,ok,,0.95,0.881565516261,23.0,24.0,0.99,0.987833544029,23.0,24.0,0.99,0.987833544029,23.0,24.0,custom_states,True,True,True,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph001,True,True,0.0,1.0,98.0,110.2,9.97,310.0,326.2,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'rx': 49, 'cz': 48, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,30.0,32.0,ok,,0.96,0.881565516261,27.0,28.0,0.99,0.987833544029,27.0,28.0,0.99,0.987833544029,27.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph002,True,True,0.0,1.0,99.0,110.8,9.66,317.0,332.8,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'rx': 56, 'cz': 48, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,30.0,32.0,ok,,0.95,0.881565516261,27.0,28.0,0.99,0.987833544029,27.0,28.0,0.99,0.987833544029,27.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph010,True,True,0.0,1.0,98.0,110.0,9.82,310.0,325.8,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'rx': 49, 'cz': 48, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,30.0,32.0,ok,,0.95,0.881565516261,27.0,28.0,0.99,0.987833544029,27.0,28.0,0.99,0.987833544029,27.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph011,True,True,0.0,1.0,96.0,109.2,10.78,303.0,323.2,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'cz': 48, 'rx': 42, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,28.0,32.0,ok,,0.95,0.967364800501,25.0,28.0,0.95,0.967364800501,25.0,28.0,0.95,0.967364800501,25.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph012,True,True,0.0,1.0,95.0,105.4,8.52,305.0,309.6,74.0,77.0,128.0,"{'rz': 97, 'sx': 80, 'rx': 54, 'cz': 42, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,26.0,28.0,ok,,0.99,0.987833544029,23.0,24.0,0.99,0.987833544029,23.0,24.0,0.99,0.987833544029,23.0,24.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph020,True,True,0.0,1.0,97.0,109.6,10.29,305.0,324.6,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'cz': 48, 'rx': 44, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,28.0,32.0,ok,,0.96,0.881565516261,25.0,28.0,0.99,0.987833544029,25.0,28.0,0.99,0.987833544029,25.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph021,True,True,0.0,1.0,95.0,105.4,8.52,305.0,309.6,74.0,77.0,128.0,"{'rz': 97, 'sx': 80, 'rx': 54, 'cz': 42, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,26.0,28.0,ok,,0.95,0.881565516261,23.0,24.0,0.99,0.987833544029,23.0,24.0,0.99,0.987833544029,23.0,24.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph022,True,True,0.0,1.0,98.0,110.0,9.82,310.0,326.0,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'rx': 49, 'cz': 48, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,30.0,32.0,ok,,0.96,0.881565516261,27.0,28.0,0.99,0.987833544029,27.0,28.0,0.99,0.987833544029,27.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph100,True,True,0.0,1.0,98.0,110.2,10.01,315.0,328.2,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'rx': 54, 'cz': 48, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,30.0,32.0,ok,,0.96,0.881565516261,27.0,28.0,0.99,0.987833544029,27.0,28.0,0.99,0.987833544029,27.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph101,True,True,0.0,1.0,95.0,105.2,8.35,304.0,308.0,74.0,77.0,128.0,"{'rz': 96, 'sx': 80, 'rx': 54, 'cz': 42, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,26.0,28.0,ok,,0.95,0.887337561515,23.0,24.0,0.99,0.987833544029,23.0,24.0,0.99,0.987833544029,23.0,24.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph102,True,True,0.0,1.0,98.0,110.0,9.82,310.0,326.0,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'rx': 49, 'cz': 48, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,30.0,32.0,ok,,0.96,0.86526466326,27.0,28.0,0.99,0.98403145781,27.0,28.0,0.99,0.98403145781,27.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph110,True,True,0.0,1.0,92.0,103.8,9.68,290.0,302.0,76.0,77.8,128.0,"{'sx': 91, 'rz': 82, 'cz': 48, 'rx': 41, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,26.0,28.0,ok,,0.95,0.881565516261,23.0,24.0,0.99,0.987833544029,23.0,24.0,0.99,0.987833544029,23.0,24.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph112,True,True,0.0,1.0,98.0,110.2,10.01,315.0,327.6,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'rx': 54, 'cz': 48, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,30.0,32.0,ok,,0.95,0.881565516261,27.0,28.0,0.99,0.987833544029,27.0,28.0,0.99,0.987833544029,27.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph120,True,True,0.0,1.0,98.0,110.2,9.97,310.0,326.4,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'rx': 49, 'cz': 48, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,30.0,32.0,ok,,0.91,0.850256907043,27.0,28.0,0.99,0.98403145781,27.0,28.0,0.99,0.98403145781,27.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph121,True,True,0.0,1.0,96.0,108.6,10.31,303.0,318.8,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'cz': 48, 'rx': 42, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,28.0,32.0,ok,,0.96,0.881565516261,25.0,28.0,0.99,0.987833544029,25.0,28.0,0.99,0.987833544029,25.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph122,True,True,0.0,1.0,95.0,105.4,8.52,305.0,309.6,74.0,77.0,128.0,"{'rz': 97, 'sx': 80, 'rx': 54, 'cz': 42, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,26.0,28.0,ok,,0.95,0.899848527184,23.0,24.0,0.99,0.987833544029,23.0,24.0,0.99,0.987833544029,23.0,24.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph200,True,True,0.0,1.0,98.0,110.0,9.82,310.0,325.8,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'rx': 49, 'cz': 48, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,30.0,32.0,ok,,0.96,0.881565516261,27.0,28.0,0.99,0.987833544029,27.0,28.0,0.99,0.987833544029,27.0,28.0,custom_states,False,False,False,,
cluster2x2,cluster,4,monomial_full,sup012_P012_ph201,True,True,0.0,1.0,96.0,109.2,10.78,303.0,323.8,80.0,81.4,128.0,"{'rz': 91, 'sx': 90, 'cz': 48, 'rx': 42, 'rzz': 32, 'barrier': 8}",5,5,0,ok,,28.0,32.0,ok,,0.96,0.86526466326,25.0,28.0,0.99,0.98403145781,25.0,28.0,0.99,0.98403145781,25.0,28.0,custom_states,False,False,False,,
