state_name,state_family,n_qutrits,class_name,candidate_name,is_valid,uses_old_codespace_only,avg_codeword_entanglement,overlap_with_old_codespace,best_depth,mean_depth,std_depth,best_size,mean_size,best_two_qubit_gate_count,mean_two_qubit_gate_count,num_qubits,best_count_ops,n_transpile_runs,successful_trials,failed_trials,status,error_message,approx_ref_depth,approx_ref_two_qubit_gate_count,approx_status,approx_error_message,fid085_best_approx_degree,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count,fid090_best_approx_degree,fid090_best_fidelity,fid090_best_depth,fid090_best_two_qubit_gate_count,fid095_best_approx_degree,fid095_best_fidelity,fid095_best_depth,fid095_best_two_qubit_gate_count,suite_name,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason,pipeline_stage
<<<<<<< HEAD
cycle4,cycle,4,baseline,E_old,True,True,0.0,1.0,91.0,113.8,16.13,278.0,274.6,73.0,68.8,128.0,"{'sx': 85, 'rz': 80, 'cz': 45, 'rx': 40, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,True,True,True,,
cycle4,cycle,4,monomial_full,sup012_P012_ph001,True,True,0.0,1.0,118.0,124.8,8.54,313.0,322.8,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 56, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.96,0.881565516261,31.0,28.0,0.99,0.987833544029,31.0,28.0,0.99,0.987833544029,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph002,True,True,0.0,1.0,118.0,124.8,8.54,319.0,328.6,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 62, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.95,0.881565516261,31.0,28.0,0.99,0.987833544029,31.0,28.0,0.99,0.987833544029,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph010,True,True,0.0,1.0,118.0,124.8,8.54,312.0,322.0,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 55, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.95,0.881565516261,31.0,28.0,0.99,0.987833544029,31.0,28.0,0.99,0.987833544029,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph011,True,True,0.0,1.0,117.0,123.6,8.14,310.0,320.6,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 53, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,32.0,32.0,ok,,0.95,0.967364800501,29.0,28.0,0.95,0.967364800501,29.0,28.0,0.95,0.967364800501,29.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph012,True,True,0.0,1.0,110.0,117.6,9.39,292.0,304.0,76.0,77.0,128.0,"{'sx': 90, 'rz': 84, 'cz': 48, 'rx': 42, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph020,True,True,0.0,1.0,118.0,124.6,8.24,312.0,322.8,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 55, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,32.0,32.0,ok,,0.96,0.881565516261,29.0,28.0,0.99,0.987833544029,29.0,28.0,0.99,0.987833544029,29.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph021,True,True,0.0,1.0,110.0,117.6,9.39,292.0,304.0,76.0,77.0,128.0,"{'sx': 90, 'rz': 84, 'cz': 48, 'rx': 42, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph022,True,True,0.0,1.0,118.0,124.4,7.94,312.0,322.2,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 55, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.96,0.881565516261,31.0,28.0,0.99,0.987833544029,31.0,28.0,0.99,0.987833544029,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph100,True,True,0.0,1.0,117.0,124.2,9.02,310.0,323.6,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 53, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.96,0.881565516261,31.0,28.0,0.99,0.987833544029,31.0,28.0,0.99,0.987833544029,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph101,True,True,0.0,1.0,109.0,116.8,9.68,289.0,301.0,76.0,77.0,128.0,"{'sx': 90, 'rz': 81, 'cz': 48, 'rx': 42, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.887337561515,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph102,True,True,0.0,1.0,118.0,124.4,7.94,312.0,322.2,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 55, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.96,0.86526466326,31.0,28.0,0.99,0.98403145781,31.0,28.0,0.99,0.98403145781,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph110,True,True,0.0,1.0,110.0,116.8,8.33,291.0,301.4,76.0,77.2,128.0,"{'sx': 91, 'rz': 83, 'cz': 48, 'rx': 41, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph112,True,True,0.0,1.0,117.0,124.0,8.72,310.0,323.0,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 53, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.95,0.881565516261,31.0,28.0,0.99,0.987833544029,31.0,28.0,0.99,0.987833544029,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph120,True,True,0.0,1.0,118.0,124.4,7.94,313.0,323.0,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 56, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.91,0.850256907043,31.0,28.0,0.99,0.98403145781,31.0,28.0,0.99,0.98403145781,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph121,True,True,0.0,1.0,116.0,122.8,8.42,307.0,316.6,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 50, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,32.0,32.0,ok,,0.96,0.881565516261,29.0,28.0,0.99,0.987833544029,29.0,28.0,0.99,0.987833544029,29.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph122,True,True,0.0,1.0,110.0,117.6,9.39,292.0,304.0,76.0,77.0,128.0,"{'sx': 90, 'rz': 84, 'cz': 48, 'rx': 42, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.899848527184,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph200,True,True,0.0,1.0,118.0,124.6,8.24,312.0,322.0,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 55, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.96,0.881565516261,31.0,28.0,0.99,0.987833544029,31.0,28.0,0.99,0.987833544029,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph201,True,True,0.0,1.0,117.0,123.8,8.42,310.0,321.2,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 53, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,32.0,32.0,ok,,0.96,0.86526466326,29.0,28.0,0.99,0.98403145781,29.0,28.0,0.99,0.98403145781,29.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph202,True,True,0.0,1.0,109.0,116.8,9.68,289.0,301.0,76.0,77.0,128.0,"{'sx': 90, 'rz': 81, 'cz': 48, 'rx': 42, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.91,0.855738673908,27.0,24.0,0.99,0.946673107426,27.0,24.0,,,,,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph210,True,True,0.0,1.0,117.0,123.8,8.42,310.0,321.2,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 53, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,32.0,32.0,ok,,0.95,0.97190574996,29.0,28.0,0.95,0.97190574996,29.0,28.0,0.95,0.97190574996,29.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph211,True,True,0.0,1.0,110.0,117.6,9.39,292.0,304.0,76.0,77.0,128.0,"{'sx': 90, 'rz': 84, 'cz': 48, 'rx': 42, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph212,True,True,0.0,1.0,118.0,125.0,8.85,313.0,322.8,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 56, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.96,0.86526466326,31.0,28.0,0.99,0.98403145781,31.0,28.0,0.99,0.98403145781,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph220,True,True,0.0,1.0,110.0,117.6,9.39,291.0,302.8,76.0,77.0,128.0,"{'sx': 90, 'rz': 83, 'cz': 48, 'rx': 42, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph221,True,True,0.0,1.0,118.0,125.0,8.85,314.0,323.6,80.0,81.2,128.0,"{'rz': 93, 'sx': 84, 'rx': 57, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.95,0.97190574996,30.0,28.0,0.95,0.97190574996,30.0,28.0,0.95,0.97190574996,30.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph000,True,True,0.0,1.0,131.0,138.0,10.12,363.0,372.6,88.0,89.2,128.0,"{'rz': 114, 'sx': 84, 'rx': 77, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,40.0,40.0,ok,,0.96,0.881565516261,37.0,36.0,0.99,0.987833544029,37.0,36.0,0.99,0.987833544029,37.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph001,True,True,0.0,1.0,131.0,138.0,10.84,361.0,371.0,88.0,89.2,128.0,"{'rz': 117, 'sx': 84, 'rx': 72, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,40.0,40.0,ok,,0.95,0.967364800501,37.0,36.0,0.95,0.967364800501,37.0,36.0,0.95,0.967364800501,37.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph002,True,True,0.0,1.0,132.0,138.6,10.07,366.0,375.6,88.0,89.2,128.0,"{'rz': 116, 'sx': 84, 'rx': 78, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph010,True,True,0.0,1.0,132.0,139.0,10.84,367.0,377.0,88.0,89.2,128.0,"{'rz': 117, 'sx': 84, 'rx': 78, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph011,True,True,0.0,1.0,132.0,138.6,10.07,366.0,375.6,88.0,89.2,128.0,"{'rz': 116, 'sx': 84, 'rx': 78, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph012,True,True,0.0,1.0,134.0,140.2,9.3,368.0,377.4,88.0,89.2,128.0,"{'rz': 118, 'sx': 84, 'rx': 78, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph020,True,True,0.0,1.0,132.0,138.6,10.07,362.0,373.2,88.0,89.2,128.0,"{'rz': 116, 'sx': 84, 'rx': 74, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph021,True,True,0.0,1.0,134.0,140.2,9.3,368.0,377.4,88.0,89.2,128.0,"{'rz': 118, 'sx': 84, 'rx': 78, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph022,True,True,0.0,1.0,132.0,138.6,10.07,362.0,373.2,88.0,89.2,128.0,"{'rz': 116, 'sx': 84, 'rx': 74, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph100,True,True,0.0,1.0,132.0,138.6,10.07,363.0,372.6,88.0,89.2,128.0,"{'rz': 116, 'sx': 84, 'rx': 75, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.95,0.967364800501,38.0,36.0,0.95,0.967364800501,38.0,36.0,0.95,0.967364800501,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph101,True,True,0.0,1.0,134.0,140.2,9.3,368.0,377.4,88.0,89.2,128.0,"{'rz': 118, 'sx': 84, 'rx': 78, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph102,True,True,0.0,1.0,131.0,138.0,10.84,361.0,371.0,88.0,89.2,128.0,"{'rz': 117, 'sx': 84, 'rx': 72, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,40.0,40.0,ok,,0.96,0.881565516261,37.0,36.0,0.99,0.987833544029,37.0,36.0,0.99,0.987833544029,37.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph110,True,True,0.0,1.0,131.0,138.0,10.12,363.0,372.6,88.0,89.2,128.0,"{'rz': 114, 'sx': 84, 'rx': 77, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,40.0,40.0,ok,,0.96,0.881565516261,37.0,36.0,0.99,0.987833544029,37.0,36.0,0.99,0.987833544029,37.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph111,True,True,0.0,1.0,132.0,138.8,10.46,363.0,373.4,88.0,89.2,128.0,"{'rz': 117, 'sx': 84, 'rx': 74, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,40.0,40.0,ok,,0.95,0.967364800501,37.0,36.0,0.95,0.967364800501,37.0,36.0,0.95,0.967364800501,37.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph112,True,True,0.0,1.0,132.0,138.6,10.07,363.0,372.8,88.0,89.2,128.0,"{'rz': 116, 'sx': 84, 'rx': 75, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph120,True,True,0.0,1.0,131.0,137.8,10.46,360.0,370.2,88.0,89.2,128.0,"{'rz': 116, 'sx': 84, 'rx': 72, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,40.0,40.0,ok,,0.96,0.881565516261,37.0,36.0,0.99,0.987833544029,37.0,36.0,0.99,0.987833544029,37.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph121,True,True,0.0,1.0,132.0,138.6,10.07,363.0,372.8,88.0,89.2,128.0,"{'rz': 116, 'sx': 84, 'rx': 75, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph122,True,True,0.0,1.0,134.0,140.2,9.3,368.0,377.4,88.0,89.2,128.0,"{'rz': 118, 'sx': 84, 'rx': 78, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P021_ph200,True,True,0.0,1.0,132.0,139.0,10.84,364.0,374.0,88.0,89.2,128.0,"{'rz': 117, 'sx': 84, 'rx': 75, 'cz': 45, 'rzz': 43, 'barrier': 8}",5,5,0,ok,,41.0,40.0,ok,,0.97,0.881565516261,38.0,36.0,0.99,0.987833544029,38.0,36.0,0.99,0.987833544029,38.0,36.0,custom_states,False,False,False,,
