state_name,state_family,n_qutrits,class_name,candidate_name,is_valid,uses_old_codespace_only,avg_codeword_entanglement,overlap_with_old_codespace,best_depth,mean_depth,std_depth,best_size,mean_size,best_two_qubit_gate_count,mean_two_qubit_gate_count,num_qubits,best_count_ops,n_transpile_runs,successful_trials,failed_trials,status,error_message,approx_ref_depth,approx_ref_two_qubit_gate_count,approx_status,approx_error_message,fid085_best_approx_degree,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count,fid090_best_approx_degree,fid090_best_fidelity,fid090_best_depth,fid090_best_two_qubit_gate_count,fid095_best_approx_degree,fid095_best_fidelity,fid095_best_depth,fid095_best_two_qubit_gate_count,suite_name,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason,pipeline_stage
cycle4,cycle,4,baseline,E_old,True,True,0.0,1.0,91.0,113.8,16.13,278.0,274.6,73.0,68.8,128.0,"{'sx': 85, 'rz': 80, 'cz': 45, 'rx': 40, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.987833544029,27.0,24.0,0.95,0.987833544029,27.0,24.0,0.95,0.987833544029,27.0,24.0,custom_states,True,True,True,,
cycle4,cycle,4,monomial_full,sup012_P012_ph001,True,True,0.0,1.0,119.0,125.8,8.54,316.0,325.8,80.0,81.2,128.0,"{'rz': 96, 'sx': 84, 'rx': 56, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.96,0.987833544029,31.0,28.0,0.96,0.987833544029,31.0,28.0,0.96,0.987833544029,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph002,True,True,0.0,1.0,118.0,124.4,7.94,312.0,321.2,80.0,81.2,128.0,"{'rz': 96, 'sx': 84, 'rx': 52, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,32.0,32.0,ok,,0.96,0.987833544029,29.0,28.0,0.96,0.987833544029,29.0,28.0,0.96,0.987833544029,29.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph010,True,True,0.0,1.0,119.0,125.2,7.65,316.0,326.0,80.0,81.2,128.0,"{'rz': 96, 'sx': 84, 'rx': 56, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,34.0,32.0,ok,,0.96,0.987833544029,31.0,28.0,0.96,0.987833544029,31.0,28.0,0.96,0.987833544029,31.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph011,True,True,0.0,1.0,117.0,123.2,7.6,306.0,315.6,80.0,81.2,128.0,"{'rz': 92, 'sx': 84, 'rx': 50, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,32.0,32.0,ok,,0.96,0.987833544029,29.0,28.0,0.96,0.987833544029,29.0,28.0,0.96,0.987833544029,29.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph012,True,True,0.0,1.0,110.0,117.6,9.39,292.0,304.0,76.0,77.0,128.0,"{'sx': 90, 'rz': 84, 'cz': 48, 'rx': 42, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph020,True,True,0.0,1.0,118.0,124.6,8.24,312.0,321.8,80.0,81.2,128.0,"{'rz': 96, 'sx': 84, 'rx': 52, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,32.0,32.0,ok,,0.96,0.987833544029,29.0,28.0,0.96,0.987833544029,29.0,28.0,0.96,0.987833544029,29.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph021,True,True,0.0,1.0,110.0,117.6,9.39,292.0,304.0,76.0,77.0,128.0,"{'sx': 90, 'rz': 84, 'cz': 48, 'rx': 42, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.987833544029,27.0,24.0,0.95,0.987833544029,27.0,24.0,0.95,0.987833544029,27.0,24.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph022,True,True,0.0,1.0,119.0,124.8,7.11,312.0,321.8,80.0,81.2,128.0,"{'rz': 92, 'sx': 84, 'rx': 56, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,33.0,32.0,ok,,0.96,0.987833544029,30.0,28.0,0.96,0.987833544029,30.0,28.0,0.96,0.987833544029,30.0,28.0,custom_states,False,False,False,,
cycle4,cycle,4,monomial_full,sup012_P012_ph100,True,True,0.0,1.0,117.0,123.6,8.14,310.0,319.6,80.0,81.2,128.0,"{'rz': 96, 'sx': 84, 'rx': 50, 'cz': 45, 'rzz': 35, 'barrier': 8}",5,5,0,ok,,32.0,32.0,ok,,0.96,0.987833544029,29.0,28.0,0.96,0.987833544029,29.0,28.0,0.96,0.987833544029,29.0,28.0,custom_states,False,False,False,,
